nivel_escolar,duracion_estimada_min,numero_paginas,numero_items,porcentaje_visual,densidad_simbolos,prop_operaciones_aritmeticas,prop_fracciones_decimales,prop_variables_algebraicas,prop_ecuaciones,prop_patrones_funciones,prop_figuras_geometricas,prop_medicion_angulos,prop_coordenadas,prop_tablas_graficos,prop_estadistica_descriptiva,prop_probabilidad,prop_contexto_problemas,dificultad_estimada,ejemplos_resueltos,elementos_visuales,indice_interactividad,categoria_curricular
7,41,18,25,54.42,0.2335,0.42,0.6755,0.0752,0.139,0.2137,0.0944,0.4229,0.1448,0.5649,0.6283,0.2008,0.4641,2,0,5,0.3486,0
6,62,19,28,31.81,0.5357,0.5404,0.5512,0.4638,0.6847,0.5189,0.189,0.095,0.3178,0.2299,0.2365,0.1484,0.7197,3,4,5,0.3725,1
12,49,12,27,46.9,0.3354,0.1622,0.3779,0.2806,0.4657,0.0931,0.4363,0.8905,0.3686,0.0967,0.1067,0.005,0.3689,3,2,6,0.239,2
9,47,19,28,60.19,0.3546,0.1766,0.5883,0.1324,0.3927,0.5722,0.501,0.1977,0.1421,0.3458,0.4779,0.3623,0.4923,3,4,6,0.2807,3
8,32,14,12,72.43,0.2983,0.2337,0.0566,0.1475,0.337,0.325,0.753,0.5264,0.8311,0.464,0.3562,0.2224,0.269,2,3,6,0.0577,2
6,35,9,17,73.25,0.3775,0.3396,0.2627,0.2715,0.2619,0.2617,0.6715,0.5592,0.1324,0.315,0.0977,0.3578,0.4353,2,2,10,0.428,2
7,29,10,11,68.04,0.2591,0.2033,0.3943,0.5175,0.2786,0.2615,0.4562,0.5893,0.7611,0.361,0.1723,0.5966,0.3847,2,5,11,0.5622,2
5,40,6,20,52.72,0.4823,0.6503,0.2981,0.4742,0.5553,0.307,0.3869,0.1649,0.1878,0.2839,0.2598,0.1461,0.4195,2,4,7,0.4389,1
9,30,10,20,51.81,0.5753,0.655,0.5945,0.1781,0.3632,0.4907,0.4241,0.6583,0.07,0.0875,0.5581,0.1084,0.6048,3,3,9,0.2242,0
9,49,10,26,54.2,0.4,0.4232,0.5334,0.3484,0.3531,0.2805,0.3006,0.1952,0.158,0.6635,0.2104,0.2422,0.4578,2,3,8,0.0952,0
6,51,14,28,90.06,0.098,0.2603,0.1892,0.3642,0.147,0.1512,0.8341,0.6336,0.5271,0.3598,0.4268,0.1303,0.6388,2,5,10,0.3659,2
7,39,18,19,52.1,0.4592,0.0889,0.2226,0.7958,0.2549,0.3371,0.1147,0.2146,0.6437,0.5597,0.259,0.2216,0.4504,3,4,6,0.4821,1
11,36,14,17,33.3,0.4424,0.2487,0.1753,0.3454,0.3682,0.3307,0.0479,0.0728,0.0669,0.3068,0.5635,0.5768,0.6086,3,3,6,0.6518,3
5,32,9,19,79.14,0.3684,0.1391,0.7088,0.3843,0.3426,0.4996,0.89,0.7178,0.3655,0.31,0.4225,0.0716,0.3512,2,2,10,0.6013,2
12,45,7,24,50.38,0.2646,0.2115,0.0215,0.1543,0.3407,0.1636,0.3394,0.6892,0.4721,0.5733,0.2654,0.3639,0.5119,3,4,6,0.3297,2
11,35,9,18,90.65,0.2496,0.2443,0.2621,0.0491,0.1699,0.3801,0.8849,0.6804,0.3856,0.3112,0.3147,0.388,0.4703,2,4,10,0.5614,2
10,53,16,26,34.27,0.6999,0.2054,0.3671,0.7857,0.9011,0.7701,0.1903,0.1765,0.3165,0.2449,0.0778,0.1993,0.5249,3,4,8,0.3403,1
9,48,10,24,47.25,0.2662,0.1047,0.2959,0.1641,0.3984,0.5105,0.5851,0.6655,0.6536,0.063,0.395,0.1701,0.3903,3,6,6,0.3453,2
