experimento,accuracy,precision,recall,f1,val_loss_final,val_loss_min,gap_train_val,mejor_epoca,epocas_reales,tiempo_seg
"Baseline (64-32 ReLU, Adam 0.001, Batch 32)",0.9076,0.907654056871367,0.9076,0.9076042236670648,0.25660595297813416,0.24087335169315338,0.012642846012115516,3,40,152.34
LR = 0.1,0.3022,0.09132484,0.3022,0.14026238673014899,1.38711678981781,1.38711678981781,-0.012142847490310693,6,40,165.36
LR = 0.01,0.9094666666666666,0.9099840402367904,0.9094666666666666,0.9095466457384406,0.2590671181678772,0.2513890266418457,0.001876192601521831,12,40,148.04
LR = 0.001,0.9076,0.907654056871367,0.9076,0.9076042236670648,0.25660595297813416,0.24087335169315338,0.012642846012115516,3,40,148.61
LR = 0.0005,0.91,0.910184786698871,0.91,0.9100345752799989,0.24770911037921906,0.23935052752494812,0.009300019741058319,6,40,146.37
Batch = 32,0.91,0.910184786698871,0.91,0.9100345752799989,0.24770911037921906,0.23935052752494812,0.009300019741058319,6,40,149.93
Batch = 64,0.9096,0.9097826603981297,0.9096,0.9096191444324756,0.24426953494548798,0.2393643707036972,0.007900019073486364,10,40,77.25
Batch = 128,0.9109333333333334,0.9112838060097243,0.9109333333333334,0.910984729090647,0.2427300661802292,0.2397158145904541,0.00646666914621985,13,40,43.8
Batch = 256,0.9129333333333334,0.9130612557957626,0.9129333333333334,0.9129450063764547,0.23963168263435364,0.23812781274318695,0.003380970541636108,16,40,25.26
Sin EarlyStopping (100 epocas),0.9101333333333333,0.9103006993587032,0.9101333333333333,0.9101521944326639,0.24465373158454895,0.23812781274318695,0.00895240770975747,16,100,63.91
Reg: ninguna (referencia),0.9133333333333333,0.9134405323084838,0.9133333333333333,0.9133383234254482,0.2386421412229538,0.23812781274318695,0.0020523897806803415,16,26,18.61
Reg: Dropout 0.2,0.9132666666666667,0.9133253393615184,0.9132666666666667,0.9132439654131449,0.23437759280204773,0.2341087907552719,-0.001252361075083419,33,43,34.11
Reg: Dropout 0.4,0.9138666666666667,0.9139890298746767,0.9138666666666667,0.9138302975338445,0.2358628809452057,0.23528733849525452,-0.006895212046305388,22,32,26.14
Reg: L2 0.001,0.9129333333333334,0.9131534895229347,0.9129333333333334,0.912961978865465,0.24589169025421143,0.24586570262908936,0.0022952123324075924,98,100,67.03
Reg: BatchNorm,0.912,0.9121086895438922,0.912,0.9119696561986238,0.24343611299991608,0.24228262901306152,0.0027571325302123695,10,20,17.9
Reg: Dropout 0.2 + BatchNorm,0.9131333333333334,0.9132745540834256,0.9131333333333334,0.9130902494891125,0.23591500520706177,0.2355184108018875,-0.0024047595342000516,63,73,68.98
Opt: Adam,0.9132666666666667,0.9133253393615184,0.9132666666666667,0.9132439654131449,0.23437759280204773,0.2341087907552719,-0.001252361075083419,33,43,34.09
Opt: RMSprop,0.9132666666666667,0.9133079838053622,0.9132666666666667,0.9132590499983421,0.23467880487442017,0.23416069149971008,-0.0015666563669840539,25,35,27.07
Opt: SGD,0.9133333333333333,0.9134319248270458,0.9133333333333333,0.9132984615798159,0.23542633652687073,0.23537681996822357,-0.004747606118520098,99,100,72.86
MODELO FINAL,0.9132666666666667,0.9133253393615184,0.9132666666666667,0.9132439654131449,0.23437759280204773,0.2341087907552719,-0.001252361075083419,33,43,31.45
